"Mã QH","Quận /Huyện"
"001","Quận Ba Đình"
"002","Quận Hoàn Kiếm"
"003","Quận Tây Hồ"
"004","Quận Long Biên"
"005","Quận Cầu Giấy"
"006","Quận Đống Đa"
"007","Quận Hai Bà Trưng"
"008","Quận Hoàng Mai"
"009","Quận Thanh Xuân"
"016","Huyện Sóc Sơn"
"017","Huyện Đông Anh"
"018","Huyện Gia Lâm"
"019","Quận Nam Từ Liêm"
"020","Huyện Thanh Trì"
"021","Quận Bắc Từ Liêm"
"250","Huyện Mê Linh"
"268","Quận Hà Đông"
"269","Thị xã Sơn Tây"
"271","Huyện Ba Vì"
"272","Huyện Phúc Thọ"
"273","Huyện Đan Phượng"
"274","Huyện Hoài Đức"
"275","Huyện Quốc Oai"
"276","Huyện Thạch Thất"
"277","Huyện Chương Mỹ"
"278","Huyện Thanh Oai"
"279","Huyện Thường Tín"
"280","Huyện Phú Xuyên"
"281","Huyện Ứng Hòa"
"282","Huyện Mỹ Đức"
